"filename", "language", "C++", "CMake", "Python", "Markdown", "comment", "blank", "total"
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_shape.h", "C++", 38, 0, 0, 0, 102, 16, 156
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_stdinc.h", "C++", 590, 0, 0, 0, 166, 75, 831
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_surface.h", "C++", 144, 0, 0, 0, 785, 69, 998
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_system.h", "C++", 93, 0, 0, 0, 457, 74, 624
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_syswm.h", "C++", 272, 0, 0, 0, 77, 38, 387
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test.h", "C++", 25, 0, 0, 0, 35, 10, 70
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_assert.h", "C++", 19, 0, 0, 0, 70, 17, 106
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_common.h", "C++", 93, 0, 0, 0, 115, 29, 237
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_compare.h", "C++", 14, 0, 0, 0, 44, 12, 70
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_crc32.h", "C++", 31, 0, 0, 0, 71, 23, 125
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_font.h", "C++", 29, 0, 0, 0, 121, 19, 169
